Year,quarter,ukos,mode,purpose,package,Age,Sex,duration,Expected spend,country,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Female,4-13 nights,91.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,55-64,Male,1-3 nights,18.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,55-64,Male,4-13 nights,131.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Male,4-13 nights,200.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Miscellaneous,Independent,25-34,Female,1-3 nights,0.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent, 0-15,Male,4-13 nights,353.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,4-13 nights,436.17,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,4-13 nights,600.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Male,4-13 nights,225.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Female,14-27 nights,350.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Female,4-13 nights,390.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,65 & over,Male,4-13 nights,336.85,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,65 & over,Male,14-27 nights,737.85,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,65 & over,Female,4-13 nights,260.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent, 0-15,Male,4-13 nights,218.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,16-24,Female,4-13 nights,240.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,25-34,Male,4-13 nights,333.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,45-54,Male,4-13 nights,312.40,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,45-54,Female,4-13 nights,414.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Male,1-3 nights,268.00,Cyprus EU,,,,
